[Objective_value_file]
report.type: objective_function
obs->lf_bb_252: 210.848
obs->lf_bb_253: 427.397
obs->lf_bb_254: 201.889
obs->lf_bb_255: 547.005
obs->lf_bb_256: 965.587
obs->lf_gill_93: 14035.6
obs->lf_gill_94: 5276.82
obs->lf_gill_95: 17753.9
obs->lf_gill_96: 8090.88
obs->lf_gill_97: 19005.4
obs->lf_gill_98: 6571.47
obs->lf_gill_99: 16564.1
obs->lf_gill_100: 6314.12
obs->lf_gill_101: 13243.9
obs->lf_gill_102: 4452.99
obs->lf_gill_103: 15804.5
obs->lf_gill_104: 7117.13
obs->lf_gill_105: 15700.1
obs->lf_gill_106: 6164.58
obs->lf_gill_107: 13535.7
obs->lf_gill_108: 3771.56
obs->lf_gill_109: 8377.51
obs->lf_gill_110: 3629.46
obs->lf_gill_111: 15284.5
obs->lf_gill_112: 8330.95
obs->lf_gill_113: 21266.7
obs->lf_gill_114: 8901
obs->lf_gill_115: 32303.9
obs->lf_gill_116: 13544.5
obs->lf_gill_117: 21872.4
obs->lf_gill_118: 7395.01
obs->lf_gill_119: 19950.5
obs->lf_gill_120: 6792.24
obs->lf_gill_143: nan
obs->lf_gill_144: nan
obs->lf_gill_145: nan
obs->lf_gill_146: nan
obs->lf_gill_147: nan
obs->lf_gill_148: nan
obs->lf_gill_149: nan
obs->lf_gill_150: nan
obs->lf_gill_151: nan
obs->lf_gill_152: nan
obs->lf_gill_153: nan
obs->lf_gill_154: 9676.6
obs->lf_gill_155: 41158.1
obs->lf_gill_156: nan
obs->lf_gill_157: nan
obs->lf_gill_158: nan
obs->lf_gill_159: nan
obs->lf_gill_160: nan
obs->lf_gill_161: nan
obs->lf_gill_162: nan
obs->lf_gill_163: nan
obs->lf_gill_164: nan
obs->lf_gill_165: 20343.4
obs->lf_gill_166: 16474.4
obs->lf_gill_167: 19349.2
obs->lf_gill_168: 15750.6
obs->lf_gill_205: 929.017
obs->lf_gill_206: 44.4034
obs->lf_gill_228: 64.0535
obs->lf_gill_229: 101.228
obs->lf_gill_230: 1723.85
obs->lf_gill_231: 2035.88
obs->lf_gill_232: 948.099
obs->lf_ll_9: 215.086
obs->lf_ll_10: nan
obs->lf_ll_11: 890.761
obs->lf_ll_12: 556.955
obs->lf_ll_13: nan
obs->lf_ll_14: 10944.6
obs->lf_ll_15: nan
obs->lf_ll_16: 6534.75
obs->lf_ll_17: nan
obs->lf_ll_18: nan
obs->lf_ll_19: nan
obs->lf_ll_20: 2588.37
obs->lf_ll_21: nan
obs->lf_ll_22: nan
obs->lf_ll_23: nan
obs->lf_ll_24: 2777.03
obs->lf_ll_25: nan
obs->lf_ll_26: nan
obs->lf_ll_27: 263.584
obs->lf_ll_28: 1099.63
obs->lf_ll_29: nan
obs->lf_ll_30: nan
obs->lf_ll_31: nan
obs->lf_ll_32: 982.235
obs->lf_ll_33: nan
obs->lf_ll_34: nan
obs->lf_ll_35: nan
obs->lf_ll_36: 6043.35
obs->lf_ll_37: nan
obs->lf_ll_38: nan
obs->lf_ll_40: 1287.2
obs->lf_ll_41: nan
obs->lf_ll_42: nan
obs->lf_ll_43: nan
obs->lf_ll_44: 2252.48
obs->lf_ll_45: 1220.72
obs->lf_ll_47: 137.727
obs->lf_ll_48: 1289.79
obs->lf_ll_49: nan
obs->lf_ll_50: 1732.64
obs->lf_ll_51: nan
obs->lf_ll_52: nan
obs->lf_ll_53: nan
obs->lf_ll_54: nan
obs->lf_ll_55: 3586.06
obs->lf_ll_56: 2875.24
obs->lf_ll_57: 3332.76
obs->lf_ll_58: nan
obs->lf_ll_59: 1473.47
obs->lf_ll_60: 4504.71
obs->lf_ll_61: nan
obs->lf_ll_62: 1311.74
obs->lf_ll_63: nan
obs->lf_ll_64: 909.164
obs->lf_ll_65: nan
obs->lf_ll_66: nan
obs->lf_ll_67: 785.809
obs->lf_ll_68: 1271.59
obs->lf_ll_69: 4152.78
obs->lf_ll_70: 1031.71
obs->lf_ll_71: 492.22
obs->lf_ll_72: nan
obs->lf_ll_73: nan
obs->lf_ll_74: nan
obs->lf_ll_75: nan
obs->lf_ll_76: 1349.26
obs->lf_ll_77: nan
obs->lf_ll_78: nan
obs->lf_ll_79: 1815.64
obs->lf_ll_80: 619.474
obs->lf_ll_81: nan
obs->lf_ll_82: 227.948
obs->lf_ll_83: nan
obs->lf_ll_84: 684.212
obs->lf_ll_85: nan
obs->lf_ll_87: 282.555
obs->lf_ll_88: 408.338
obs->lf_ll_89: nan
obs->lf_ll_91: 168.026
obs->lf_ll_92: 243.362
obs->lf_ll_93: nan
obs->lf_ll_94: nan
obs->lf_ll_95: 174.829
obs->lf_ll_96: nan
obs->lf_ll_97: nan
obs->lf_ll_98: 380.013
obs->lf_ll_99: 32.9181
obs->lf_ll_101: nan
obs->lf_ll_102: 406.83
obs->lf_ll_103: 21.347
obs->lf_ll_104: nan
obs->lf_ll_105: 2307.09
obs->lf_ll_106: nan
obs->lf_ll_107: 89.5355
obs->lf_ll_108: 97.1094
obs->lf_ll_109: nan
obs->lf_ll_110: nan
obs->lf_ll_111: 195.731
obs->lf_ll_112: 335.019
obs->lf_ll_113: nan
obs->lf_ll_114: nan
obs->lf_ll_115: 134.617
obs->lf_ll_116: nan
obs->lf_ll_117: nan
obs->lf_ll_118: nan
obs->lf_ll_119: nan
obs->lf_ll_120: nan
obs->lf_ll_121: nan
obs->lf_ll_122: nan
obs->lf_ll_123: nan
obs->lf_ll_124: nan
obs->lf_ll_125: nan
obs->lf_ll_126: nan
obs->lf_ll_127: 400.581
obs->lf_ll_128: nan
obs->lf_ll_129: nan
obs->lf_ll_130: nan
obs->lf_ll_131: 462.556
obs->lf_ll_132: 3487.99
obs->lf_ll_133: nan
obs->lf_ll_134: nan
obs->lf_ll_135: nan
obs->lf_ll_136: nan
obs->lf_ll_137: nan
obs->lf_ll_138: nan
obs->lf_ll_139: nan
obs->lf_ll_140: nan
obs->lf_ll_141: nan
obs->lf_ll_142: 429.053
obs->lf_ll_143: 205.632
obs->lf_ll_144: nan
obs->lf_ll_145: nan
